STATION,DATE,TAVG,TMAX,TMIN
USW00023183,1/1/1990,,68,42
USW00023183,1/2/1990,,66,43
USW00023183,1/3/1990,,55,42
USW00023183,1/4/1990,,59,36
USW00023183,1/5/1990,,61,36
USW00023183,1/6/1990,,65,40
USW00023183,1/7/1990,,62,39
USW00023183,1/8/1990,,68,40
USW00023183,1/9/1990,,73,44
USW00023183,1/10/1990,,84,48
USW00023183,1/11/1990,,82,54
USW00023183,1/12/1990,,78,52
USW00023183,1/13/1990,,75,57
USW00023183,1/14/1990,,71,49
USW00023183,1/15/1990,,66,51
USW00023183,1/16/1990,,63,46
USW00023183,1/17/1990,,57,43
USW00023183,1/18/1990,,52,42
USW00023183,1/19/1990,,55,37
USW00023183,1/20/1990,,59,37
USW00023183,1/21/1990,,69,39
USW00023183,1/22/1990,,67,51
USW00023183,1/23/1990,,73,47
USW00023183,1/24/1990,,72,46
USW00023183,1/25/1990,,70,41
USW00023183,1/26/1990,,70,43
USW00023183,1/27/1990,,68,40
USW00023183,1/28/1990,,66,38
USW00023183,1/29/1990,,70,40
USW00023183,1/30/1990,,71,44
USW00023183,1/31/1990,,70,53
USW00023183,2/1/1990,,57,44
USW00023183,2/2/1990,,59,43
USW00023183,2/3/1990,,62,39
USW00023183,2/4/1990,,69,42
USW00023183,2/5/1990,,61,44
USW00023183,2/6/1990,,69,42
USW00023183,2/7/1990,,70,45
USW00023183,2/8/1990,,58,52
USW00023183,2/9/1990,,64,46
USW00023183,2/10/1990,,68,42
USW00023183,2/11/1990,,77,45
USW00023183,2/12/1990,,69,52
USW00023183,2/13/1990,,71,50
USW00023183,2/14/1990,,61,39
USW00023183,2/15/1990,,50,32
USW00023183,2/16/1990,,57,32
USW00023183,2/17/1990,,68,37
USW00023183,2/18/1990,,68,42
USW00023183,2/19/1990,,56,41
USW00023183,2/20/1990,,59,37
USW00023183,2/21/1990,,64,43
USW00023183,2/22/1990,,74,43
USW00023183,2/23/1990,,79,48
USW00023183,2/24/1990,,85,52
USW00023183,2/25/1990,,85,57
USW00023183,2/26/1990,,83,60
USW00023183,2/27/1990,,82,58
USW00023183,2/28/1990,,81,55
USW00023183,3/1/1990,,78,59
USW00023183,3/2/1990,,80,59
USW00023183,3/3/1990,,78,62
USW00023183,3/4/1990,,82,55
USW00023183,3/5/1990,,69,53
USW00023183,3/6/1990,,70,48
USW00023183,3/7/1990,,74,49
USW00023183,3/8/1990,,80,51
USW00023183,3/9/1990,,77,56
USW00023183,3/10/1990,,61,52
USW00023183,3/11/1990,,64,49
USW00023183,3/12/1990,,64,47
USW00023183,3/13/1990,,62,44
USW00023183,3/14/1990,,63,40
USW00023183,3/15/1990,,74,42
USW00023183,3/16/1990,,75,49
USW00023183,3/17/1990,,84,52
USW00023183,3/18/1990,,87,55
USW00023183,3/19/1990,,91,57
USW00023183,3/20/1990,,91,65
USW00023183,3/21/1990,,92,63
USW00023183,3/22/1990,,94,62
USW00023183,3/23/1990,,93,63
USW00023183,3/24/1990,,94,64
USW00023183,3/25/1990,,93,64
USW00023183,3/26/1990,,93,66
USW00023183,3/27/1990,,85,67
USW00023183,3/28/1990,,78,60
USW00023183,3/29/1990,,72,55
USW00023183,3/30/1990,,77,54
USW00023183,3/31/1990,,70,55
USW00023183,4/1/1990,,77,54
USW00023183,4/2/1990,,82,56
USW00023183,4/3/1990,,86,58
USW00023183,4/4/1990,,84,63
USW00023183,4/5/1990,,81,63
USW00023183,4/6/1990,,86,63
USW00023183,4/7/1990,,83,65
USW00023183,4/8/1990,,85,63
USW00023183,4/9/1990,,86,61
USW00023183,4/10/1990,,93,63
USW00023183,4/11/1990,,95,65
USW00023183,4/12/1990,,98,64
USW00023183,4/13/1990,,98,66
USW00023183,4/14/1990,,98,68
USW00023183,4/15/1990,,100,67
USW00023183,4/16/1990,,91,68
USW00023183,4/17/1990,,81,65
USW00023183,4/18/1990,,82,61
USW00023183,4/19/1990,,88,63
USW00023183,4/20/1990,,94,64
USW00023183,4/21/1990,,94,68
USW00023183,4/22/1990,,89,67
USW00023183,4/23/1990,,86,66
USW00023183,4/24/1990,,72,58
USW00023183,4/25/1990,,81,58
USW00023183,4/26/1990,,92,62
USW00023183,4/27/1990,,97,67
USW00023183,4/28/1990,,98,70
USW00023183,4/29/1990,,92,73
USW00023183,4/30/1990,,83,67
USW00023183,5/1/1990,,80,61
USW00023183,5/2/1990,,82,60
USW00023183,5/3/1990,,91,62
USW00023183,5/4/1990,,94,71
USW00023183,5/5/1990,,96,74
